,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Bon Jovi,Runaway,0X1sqQ652p1sceKM2nJlIJ,69,0.00482,0.476,230667,0.897,2.38e-05,9,0.152,-4.237,0,0.0627,152.497,4,0.667
1,Rise Against,Prayer Of The Refugee,2VGQ342iuqj6aSaYbyBQVJ,67,0.00131,0.198,199387,0.977,4.62e-05,3,0.23,-3.499,0,0.173,195.795,4,0.351
2,Slipknot,The Devil In I,5hheGdf1cb4rK0FNiedCfK,73,0.00591,0.398,342821,0.939,0.000881,9,0.357,-2.865,0,0.0648,92.027,4,0.235
3,Stone Sour,Song #3,5pOw4EIHqmSY7SbZETFGAc,45,0.00243,0.479,256525,0.937,0.0,1,0.132,-5.453,1,0.078,157.044,4,0.458
4,Volbeat,The Nameless One,7mlvzhveIBuqFUWaTIrkbW,49,2.36e-05,0.519,232507,0.85,2.3e-06,2,0.0671,-4.511,1,0.0264,109.031,4,0.619
5,Judas Priest,Painkiller,0L7zm6afBEtrNKo6C6Gj08,65,0.000195,0.435,365827,0.987,0.0847,1,0.268,-4.667,0,0.16,103.16,4,0.101
6,Within Temptation,The Reckoning,4GSjFSK1SM78wPTVbsSB0S,66,0.00356,0.31,251107,0.825,0.0,1,0.641,-4.53,1,0.0563,89.885,4,0.475
7,Rammstein,Ich will,3X0K6fII7VIwL1URPrp8Ko,69,0.00138,0.648,217107,0.896,0.000819,2,0.0879,-4.254,1,0.041,128.115,4,0.468
8,Amon Amarth,Twilight Of The Thunder God,5u3l2TONYacJgmRPQVaF9y,65,1.62e-05,0.374,248747,0.92,0.026,6,0.0802,-4.653,1,0.0501,191.014,4,0.278
9,Metallica,Master Of Puppets,2MuWTIM3b0YEAskbeeFE1i,74,0.000647,0.543,515387,0.836,0.431,4,0.153,-9.11,0,0.0353,105.173,4,0.56
10,Thousand Foot Krutch,Courtesy Call,4oNgvj3zUCsyAp0BuMkyxH,62,0.00402,0.532,236898,0.637,0.0,11,0.0822,-5.145,0,0.0812,164.069,4,0.445
11,Nonpoint,Chaos And Earthquakes,2imkodSyg1hOZwZuE2fJdU,65,0.000417,0.524,225133,0.843,0.125,10,0.375,-5.578,0,0.0536,85.993,4,0.212
12,Metallica,For Whom The Bell Tolls - Remastered,2dXsILW8gzkosqleHAvl0v,71,0.00613,0.518,309973,0.848,0.00508,0,0.0644,-6.169,1,0.0721,117.914,4,0.246
