,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Ludwig van Beethoven,"Wind Octet in E-Flat Major, Op. 103: I. Allegro",6cMxbA5diqO0uUaXuMwivx,18,0.995,0.341,492707,0.0383,0.906,3,0.125,-23.421,1,0.0392,133.427,4,0.157
1,Showtek,Listen To Your Momma (feat. Leon Sherman) - LOUD ABOUT US! Extended Remix,1nddRHjrKrxqULQ3JkF8e4,0,0.0243,0.713,260723,0.847,0.25,1,0.659,-2.503,0,0.148,127.971,4,0.367
2,Yelawolf,Rowdy,0PzwV0RvNVjDWkudEzOzdE,62,0.000325,0.692,268907,0.824,0.000672,1,0.123,-6.205,1,0.0377,150.07,4,0.0862
3,Etham,Purpose - Stripped,4IlzIqULsKpVz0b0kUbyO1,47,0.67,0.422,196413,0.29,0.0,8,0.109,-9.702,1,0.0414,155.292,5,0.517
4,Juice WRLD,Desire,15LOSQ3z91ZB2wMiMhiCjZ,76,0.106,0.597,189813,0.767,0.0,1,0.107,-4.713,0,0.0481,148.009,4,0.205
5,Johann Sebastian Bach,"Orchestral Suite No. 4 in D Major, BWV 1069: IV. Gavotte",1Ok0DLLUbpSJPl4qEBjsmi,3,0.905,0.302,154373,0.198,0.909,2,0.223,-15.564,1,0.0303,98.843,4,0.456
6,Mahmood,Soldi,4szQkW1CDHqbRZGltXJdd3,80,0.0361,0.729,195133,0.589,0.0,3,0.305,-9.871,0,0.0483,95.065,4,0.349
7,Ludwig van Beethoven,"Cello Sonata No. 3 in A Major, Op. 69: I. Allegro ma non tanto",4kNfphn0bVGMCf1ArSCWc0,10,0.974,0.306,567200,0.113,0.523,9,0.0977,-20.901,1,0.0386,130.368,4,0.205
8,Johann Sebastian Bach,"Markus Passion, BWV 247: Recitativo (Evangelista, Judas) ""Und der andere""",1n2YLlKXucYWXCZDaJvvWZ,0,0.722,0.0,10827,0.0463,0.00449,1,0.265,-24.38,1,0.0,0.0,0,0.0
9,Ariana Grande,NASA,4uTvPEr01pjTbZgl7jcKBD,88,0.451,0.747,182000,0.458,0.0,6,0.252,-6.891,1,0.303,75.029,4,0.47
10,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,90,0.328,0.685,240051,0.692,0.0,2,0.153,-5.122,1,0.0457,159.966,5,0.578
11,Elias Boussnina,Still Here,5TY3YL0GDk4eo4xeNKFb6g,31,0.25,0.726,190520,0.456,1.94e-05,5,0.373,-8.303,0,0.14,76.484,4,0.395
12,Lauv,i'm so tired...,7COXchtUOMd6uIT6HvmRaI,95,0.176,0.599,162583,0.733,0.0,11,0.242,-7.058,1,0.203,102.211,4,0.534
13,Johann Sebastian Bach,"The Well-Tempered Clavier, Book 1: Prelude No. 15 in G Major, BWV 860/1",3nBKCtKqEyt79pEvqYYzEh,25,0.52,0.28,59523,0.485,0.0339,6,0.119,-17.613,1,0.0354,68.232,4,0.962
14,Duncan Laurence,Arcade,1Xi84slp6FryDSCbzq4UCD,76,0.818,0.45,183624,0.329,0.00109,9,0.135,-12.603,0,0.0441,71.884,3,0.266
15,Dean Lewis,Don’t Hold Me,5W2O7jqMSMxxTBKUJLeHS7,64,0.81,0.639,179933,0.268,0.0,3,0.0977,-9.054,1,0.0391,81.7,4,0.444
16,Carmon,Fokus,6MDS0lqBpadFAuUaZijO7x,56,0.487,0.794,174636,0.666,0.0,9,0.103,-5.634,0,0.0962,91.929,4,0.49
17,Sofia Reyes,R.I.P. (feat. Rita Ora & Anitta),6JqpFboOH2bq9pzaYbkKBn,88,0.18,0.764,187200,0.752,0.0,8,0.0701,-3.713,0,0.0711,100.066,4,0.698
