,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Metro Boomin,Up To Something (feat. Travis Scott & Young Thug),4RGacGFT2ztXhGgzeaYzIR,66,0.319,0.799,184360,0.616,0.0,1,0.134,-8.809,1,0.157,114.014,4,0.667
1,Bryson Tiller,Run Me Dry,5GG3knKdxKWrNboRijxeKF,70,0.393,0.646,169267,0.756,3.23e-05,9,0.202,-9.017,0,0.487,193.881,4,0.596
2,Denzel Curry,SUPER SAIYAN SUPERMAN | ZUPER ZA1YAN ZUPERMAN,3HXSQWIyz7CUEI96kUurwn,63,0.0543,0.76,132813,0.715,9.07e-06,1,0.119,-7.128,1,0.0428,142.035,4,0.0479
3,Joey Bada$$,TEMPTATION,7L9g4cPfohScjJ8mGwLQWr,70,0.397,0.775,244198,0.707,0.0,10,0.874,-5.339,0,0.152,104.979,4,0.78
4,Offset,Legacy (feat. Travis Scott & 21 Savage),7pMRoGLEJuFM2wl5pt0R99,85,0.178,0.844,244941,0.513,0.0,1,0.0845,-8.769,1,0.335,128.085,4,0.344
5,Kendrick Lamar,A.D.H.D,2MYl0er3UZ1RlKwRb5LODh,72,0.33,0.609,215509,0.799,0.0,9,0.108,-6.883,1,0.24,157.74,4,0.582
6,A$AP Rocky,Goldie,31G9RaSaDOI2NWcpnIp734,68,0.225,0.697,192067,0.848,4.61e-05,10,0.493,-4.953,0,0.249,81.956,4,0.733
7,Disturbed,No More,0IdNBZt0O8R9qBgezYFGOi,56,0.000285,0.53,232640,0.988,0.0,7,0.222,-2.406,1,0.121,101.28,3,0.521
8,Desiigner,Tiimmy Turner,3NJG6vMH1ZsectZkocMEm0,74,0.174,0.602,239853,0.725,0.0,6,0.0786,-3.054,1,0.0393,122.803,4,0.304
9,keshi,just friends,2KEnu7ABoDpekTUae5rrU0,68,0.767,0.713,123126,0.244,0.00435,6,0.101,-15.639,0,0.101,119.993,4,0.199
10,2Pac,Breathin,7k4dnllwnFDizWHAWkYXsh,60,0.0143,0.891,244827,0.728,0.0,1,0.276,-5.55,0,0.287,83.008,4,0.633
11,Travis Scott,first take,6wwruKU956ldDyz55DZTt1,63,0.015,0.423,313909,0.536,0.0,7,0.095,-3.8,1,0.16,71.313,5,0.0895
12,Post Malone,Candy Paint,32lItqlMi4LBhb4k0BaSaC,84,0.627,0.67,227533,0.654,1.02e-06,4,0.071,-5.944,1,0.153,180.024,4,0.438
13,The Black Eyed Peas,Where Is The Love?,1FreAz1lmnDi5aKLB6GdFM,77,0.1,0.833,272533,0.713,0.0,5,0.128,-3.259,1,0.178,94.091,4,0.806
14,Chris Brown,New Flame (feat. Usher & Rick Ross),3fBbfrWZUuWWrMQXFISr7N,64,0.0506,0.702,244227,0.629,0.0,1,0.0963,-4.292,1,0.041,141.967,4,0.446
15,Kendrick Lamar,"Bitch, Don’t Kill My Vibe - Remix",4wshBvO4qMrxJnPlfkeUWi,60,0.0513,0.636,278587,0.788,0.0,1,0.204,-5.766,1,0.252,133.722,4,0.143
16,Lil Uzi Vert,New Patek,0Fpen1PTuEnCmOJtUU9Iud,81,0.0367,0.85,343099,0.785,0.0,8,0.155,-4.963,0,0.345,145.063,4,0.718
