,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Rae Sremmurd,Guatemala - From Swaecation,0TCnOEVeLQMXOUrpPlM7uY,78,0.185,0.849,256341,0.699,0.00118,4,0.0954,-5.193,0,0.0574,100.989,4,0.0778
1,Campsite Dream,Genie in a Bottle,09nssae4OveYZLhXI1wYQX,65,0.388,0.736,151470,0.689,0.0,2,0.211,-4.804,0,0.0456,101.046,4,0.465
2,Alan Walker,Different World (feat. CORSAK),4heFQCyiW0RUEX1Q1lb008,71,0.0638,0.602,202907,0.752,0.0,7,0.13,-4.931,0,0.0361,130.037,4,0.331
3,MORTEN,Tonight I'm Loving You (feat. Reo Cragun),3sBjt4cfTskytzXbr5dNHm,60,0.0229,0.694,210313,0.694,0.00371,11,0.0907,-5.672,0,0.0504,95.939,4,0.4
4,BesiMadeThis,Fresh Delivery (feat. Jimilian & Slim Kofi),3zXTbX1FGVxY66xBA7ABka,39,0.0106,0.796,169370,0.856,0.00608,7,0.249,-3.882,1,0.0613,117.982,4,0.927
5,Michel LeBond,Spiritual Touch,448vZRidoOl0wUKibsp0vI,64,0.989,0.107,257649,0.0888,0.953,10,0.377,-25.47,1,0.0346,91.065,4,0.181
6,ScHoolboy Q,X (with 2 Chainz & Saudi),4LmAnpjlhWTahvRkYR8xJa,77,0.0201,0.768,267427,0.471,0.0,2,0.268,-8.406,1,0.259,131.023,4,0.405
7,Imagine Dragons,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",2bzitsPcImYC6DZWvvLCQi,77,0.000479,0.634,210933,0.662,0.00142,6,0.111,-7.543,1,0.0325,90.011,4,0.244
8,Fouli,Slap Af,5IV67xT2rO7HBGKrtIMkrC,40,0.128,0.772,168217,0.726,0.0,4,0.325,-4.566,0,0.0705,120.012,4,0.776
9,Imagine Dragons,Cool Out,6LXMUR2rpxFBDo6nilS3yX,71,0.00483,0.636,217867,0.718,6.51e-06,1,0.292,-4.833,0,0.0313,143.929,4,0.437
10,Yxng Bane,Needed Time,1k65BavLispRXs7vzBuRLV,70,0.197,0.767,196185,0.499,2.65e-06,11,0.194,-7.819,0,0.133,104.061,4,0.609
11,The Blaze,Heaven,09wrW4mdaoBrOFY6KSR94h,64,0.0257,0.613,219280,0.461,0.75,1,0.0776,-10.493,0,0.0313,125.066,4,0.0837
12,A$AP Rocky,Bad Company (feat. BlocBoy JB),3ZYwSDF9knZI0RVlKR4PHC,68,0.0679,0.901,183809,0.529,0.0,8,0.536,-7.94,1,0.413,144.941,4,0.343
13,Alle Farben,H.O.L.Y.,625SfHM2FVyyUj3cT8108G,70,0.215,0.565,175440,0.645,0.0,0,0.184,-5.858,0,0.0563,100.064,4,0.483
14,Marshmello,Happier,2dpaYNEQHiRxtZbfNsse99,96,0.191,0.687,214290,0.792,0.0,5,0.167,-2.749,1,0.0452,100.015,4,0.671
15,Jeremy Zucker,all the kids are depressed,75ls0gurX68lUmMjE7QcsE,78,0.836,0.773,169973,0.437,2.42e-05,9,0.544,-8.281,1,0.0963,103.861,4,0.707
16,Lennon Stella,La Di Da,2YyvWje3cEYyqgYhNUIaBJ,79,0.195,0.689,209773,0.679,0.00111,7,0.224,-5.893,1,0.0517,149.972,4,0.475
17,Kota the Friend,Alkaline,0ror2i7yC3O4iqS1Fmvhtb,67,0.679,0.774,185000,0.537,5.24e-06,10,0.173,-6.899,0,0.297,153.878,4,0.549
18,Sigala,Sweet Lovin' - Radio Edit,1qp0ptMXNg9hqLH8sk7cc2,66,0.203,0.68,202213,0.85,1.88e-06,10,0.339,-2.785,1,0.0661,124.941,4,0.712
19,Ed Sheeran,Happier - Tiësto’s AFTR:HRS Remix,1uuUnsWpJwqBh5GRQ8uxla,62,0.00576,0.684,216000,0.823,7.42e-06,0,0.201,-4.881,1,0.0296,117.993,4,0.384
20,Juice WRLD,Make It Back,2EhJijFUs0WUmNClDBpYJq,70,0.122,0.75,102560,0.387,0.0,1,0.0993,-10.123,0,0.487,143.019,4,0.739
21,Alan Walker,I Don't Wanna Go,7kVDkZkZc8qBUBsF6klUoY,71,0.136,0.423,161667,0.751,0.0,11,0.243,-5.632,1,0.272,148.773,4,0.522
22,Tom Odell,Half As Good As You (feat. Alice Merton),25Up2vWWPlpYmdc0zpmDZq,66,0.687,0.602,210859,0.431,0.0,0,0.108,-5.03,1,0.032,82.958,4,0.419
23,Ray LaMontagne,Such A Simple Thing,1fYouLdK3PkOMPnx4CPxTY,72,0.86,0.522,296387,0.256,0.000825,10,0.142,-11.216,1,0.0258,76.35,4,0.13
24,Alan Walker,Faded,698ItKASDavgwZ3WjaWjtz,80,0.0281,0.468,212107,0.627,7.97e-06,6,0.11,-5.085,1,0.0476,179.642,4,0.159
25,Verbus,Trust in Me,3UADr5hqpveJTBHXKbdA23,68,0.101,0.74,163163,0.592,1.44e-05,0,0.45,-8.275,1,0.181,121.002,4,0.119
26,Katinka,Dunjakke,5YERhUrRIopiWQ37TTkNFx,37,0.0206,0.527,169016,0.486,0.0,0,0.129,-11.098,1,0.0414,158.029,4,0.489
27,DON x LEE x BARBER,Kan Ikk' Gå Mere,1bNVMj38v74AqKmTvnwYKq,45,0.107,0.724,223932,0.658,0.0,1,0.175,-7.761,0,0.161,96.021,4,0.74
28,State of Sound,High on You - Filatov & Karas Remix,29HngRNSQ6OOqDmFuGdgpd,58,0.00163,0.737,180492,0.958,0.000238,2,0.214,-4.167,0,0.107,122.03,4,0.233
29,Lil Peep,16 Lines,6akBF8JWM8lrpqejdwIfYI,71,0.0663,0.607,244907,0.45,1.12e-05,0,0.107,-8.507,1,0.0338,105.992,4,0.121
30,Pattesutter,Technopiik,4cwfpbraQNnmCb39aMyUbC,54,0.0209,0.808,140282,0.957,0.00143,1,0.0809,-4.178,1,0.0774,142.007,4,0.705
31,Nicklas Sahl,Planets,2VglI9HaCwWBOIjQdbDQ0D,65,0.0484,0.573,203037,0.767,8e-06,11,0.112,-6.182,0,0.0781,179.958,4,0.63
32,Ellie Goulding,Love Me Like You Do,0Cy7wt6IlRfBPHXXjmZbcP,63,0.27,0.489,253520,0.597,0.0,5,0.105,-6.633,0,0.0292,95.012,4,0.324
33,Travis Scott,5% TINT,11kDth1aKUEUMq9r1pqyds,73,0.173,0.712,196138,0.481,0.0,4,0.241,-5.415,0,0.0487,140.0,4,0.062
