,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Dean Lewis,Let Go,3NVnNH7lZW5Jg3fjiheS67,68,0.294,0.596,174429,0.512,0.0,7,0.139,-7.882,0,0.0274,103.004,4,0.403
1,Aqua,Roses Are Red - Original Version,0tIqERCyX2ogv5Yn00kswb,55,0.0654,0.669,225933,0.862,0.0151,0,0.359,-11.395,0,0.0364,139.975,4,0.818
2,Xander,Man Kan Ikk Spole Tiden Tilbage,47id8PAXRMv7uaIr3gc9Rb,49,0.0624,0.68,220881,0.566,7.1e-06,1,0.102,-7.435,0,0.0823,95.025,4,0.269
3,Daughter,Youth,6tqzOYuE3lrNVPDgtF3MjM,70,0.889,0.401,253013,0.535,0.00667,0,0.116,-11.09,1,0.0407,146.515,4,0.436
4,Søs Fenger,Den Lille Ole Med Paraplyen,0uyfwtzFktGLULnH17ch0K,40,0.899,0.489,201653,0.101,0.0,9,0.115,-15.773,1,0.0328,80.122,3,0.424
5,Selena Gomez,Same Old Love,6ZANrVuAMp2rpjhfbOuJly,69,0.0223,0.672,229080,0.593,0.0,11,0.214,-4.01,0,0.0304,98.02,4,0.438
6,P!nk,Walk Me Home - R3HAB Remix,7wJFBZXG4AFQS9YwBQLkqL,0,0.0454,0.658,159000,0.731,1.1e-05,1,0.344,-4.089,1,0.0716,90.003,4,0.319
7,Ankerstjerne & Rasmus Seebach,1000 År (feat. Rasmus Seebach),7lLSSp87HtoN5EpAJp92EY,39,0.275,0.688,220088,0.628,0.0,9,0.201,-5.413,1,0.129,89.534,4,0.579
8,KIDD,Bedre,5ugEs1yKkfWAFrOSnh5Jr9,40,0.0629,0.793,203952,0.603,0.0,5,0.0751,-4.066,0,0.133,142.094,4,0.448
9,Vance Joy,Riptide,7yq4Qj7cqayVTp3FF9CWbm,77,0.431,0.484,204280,0.731,0.0,1,0.151,-6.694,1,0.0379,101.654,4,0.51
10,Kendrick Lamar,King Kunta,0N3W5peJUQtI4eyR6GJT5O,76,0.00589,0.884,234693,0.657,0.0,6,0.154,-4.569,0,0.0977,107.059,4,0.489
11,Rhys Lewis,Be Your Man,6mIC0zmQTsvOMfZ1YqQwLU,67,0.887,0.65,203818,0.197,0.0,9,0.107,-10.998,0,0.0554,79.838,4,0.354
12,Shu-Bi-Dua,Krig og Fred,0aHOjXC4qgKZGGkRKOFzJK,38,0.135,0.499,221427,0.918,0.0,6,0.0202,-3.558,0,0.0515,172.455,4,0.918
13,Jessie J,Who You Are,219eUQBWnfmADjKZEWEfSM,66,0.0225,0.533,230813,0.677,5.74e-06,6,0.264,-3.912,0,0.0367,135.948,4,0.21
